material,structure,test_type,parameter,energy_total,energy_per_atom,path,functional
InP,wz,encut,E300,-16.76944267,-4.1923606675,./convergence_tests/PBE/wz/InP/conv_cutoff/E300,PBE
InP,wz,encut,E400,-16.77465971,-4.1936649275,./convergence_tests/PBE/wz/InP/conv_cutoff/E400,PBE
InP,wz,encut,E500,-16.77454332,-4.19363583,./convergence_tests/PBE/wz/InP/conv_cutoff/E500,PBE
InP,wz,encut,E600,-16.77457268,-4.19364317,./convergence_tests/PBE/wz/InP/conv_cutoff/E600,PBE
InP,wz,encut,E700,-16.77468879,-4.1936721975,./convergence_tests/PBE/wz/InP/conv_cutoff/E700,PBE
InP,wz,kpt,k12x12x8,-16.77964307,-4.1949107675,./convergence_tests/PBE/wz/InP/conv_kpt/k12x12x8,PBE
InP,wz,kpt,k15x15x10,-16.77974751,-4.1949368775,./convergence_tests/PBE/wz/InP/conv_kpt/k15x15x10,PBE
InP,wz,kpt,k3x3x2,-16.3863528,-4.0965882,./convergence_tests/PBE/wz/InP/conv_kpt/k3x3x2,PBE
InP,wz,kpt,k6x6x4,-16.76688642,-4.191721605,./convergence_tests/PBE/wz/InP/conv_kpt/k6x6x4,PBE
InP,wz,kpt,k9x9x6,-16.77879788,-4.19469947,./convergence_tests/PBE/wz/InP/conv_kpt/k9x9x6,PBE
InSb,wz,encut,E300,-13.82131946,-3.455329865,./convergence_tests/PBE/wz/InSb/conv_cutoff/E300,PBE
InSb,wz,encut,E400,-13.82198608,-3.45549652,./convergence_tests/PBE/wz/InSb/conv_cutoff/E400,PBE
InSb,wz,encut,E500,-13.82204668,-3.45551167,./convergence_tests/PBE/wz/InSb/conv_cutoff/E500,PBE
InSb,wz,encut,E600,-13.82202678,-3.455506695,./convergence_tests/PBE/wz/InSb/conv_cutoff/E600,PBE
InSb,wz,encut,E700,-13.82221878,-3.455554695,./convergence_tests/PBE/wz/InSb/conv_cutoff/E700,PBE
InSb,wz,kpt,k12x12x8,-13.84228625,-3.4605715625,./convergence_tests/PBE/wz/InSb/conv_kpt/k12x12x8,PBE
InSb,wz,kpt,k15x15x10,-13.84255534,-3.460638835,./convergence_tests/PBE/wz/InSb/conv_kpt/k15x15x10,PBE
InSb,wz,kpt,k3x3x2,-13.39419543,-3.3485488575,./convergence_tests/PBE/wz/InSb/conv_kpt/k3x3x2,PBE
InSb,wz,kpt,k6x6x4,-13.82204668,-3.45551167,./convergence_tests/PBE/wz/InSb/conv_kpt/k6x6x4,PBE
InSb,wz,kpt,k9x9x6,-13.84051876,-3.46012969,./convergence_tests/PBE/wz/InSb/conv_kpt/k9x9x6,PBE
