material,structure,test_type,parameter,energy_total,energy_per_atom,path,functional
BAs,zb,kpt,k8x8x8,-12.89672191,-6.448360955,./convergence_tests_LDA/BAs/conv_kpt/k8x8x8,LDA
BN,zb,encut,E300,-19.42422819,-9.712114095,./convergence_tests_LDA/BN/conv_cutoff/E300,LDA
BN,zb,encut,E400,-19.39688188,-9.69844094,./convergence_tests_LDA/BN/conv_cutoff/E400,LDA
BN,zb,encut,E500,-19.39711012,-9.69855506,./convergence_tests_LDA/BN/conv_cutoff/E500,LDA
BN,zb,encut,E600,-19.39911948,-9.69955974,./convergence_tests_LDA/BN/conv_cutoff/E600,LDA
BN,zb,encut,E700,-19.40201764,-9.70100882,./convergence_tests_LDA/BN/conv_cutoff/E700,LDA
BN,zb,kpt,k10x10x10,-19.39708183,-9.698540915,./convergence_tests_LDA/BN/conv_kpt/k10x10x10,LDA
BN,zb,kpt,k12x12x12,-19.39711012,-9.69855506,./convergence_tests_LDA/BN/conv_kpt/k12x12x12,LDA
BN,zb,kpt,k4x4x4,-19.32366757,-9.661833785,./convergence_tests_LDA/BN/conv_kpt/k4x4x4,LDA
BN,zb,kpt,k6x6x6,-19.39317927,-9.696589635,./convergence_tests_LDA/BN/conv_kpt/k6x6x6,LDA
BN,zb,kpt,k8x8x8,-19.39687434,-9.69843717,./convergence_tests_LDA/BN/conv_kpt/k8x8x8,LDA
BP,zb,encut,E300,-14.37141264,-7.18570632,./convergence_tests_LDA/BP/conv_cutoff/E300,LDA
BP,zb,encut,E400,-14.3893877,-7.19469385,./convergence_tests_LDA/BP/conv_cutoff/E400,LDA
BP,zb,encut,E500,-14.38958532,-7.19479266,./convergence_tests_LDA/BP/conv_cutoff/E500,LDA
BP,zb,encut,E600,-14.39149249,-7.195746245,./convergence_tests_LDA/BP/conv_cutoff/E600,LDA
BP,zb,encut,E700,-14.39219495,-7.196097475,./convergence_tests_LDA/BP/conv_cutoff/E700,LDA
BP,zb,kpt,k10x10x10,-14.38958532,-7.19479266,./convergence_tests_LDA/BP/conv_kpt/k10x10x10,LDA
BP,zb,kpt,k12x12x12,-14.38985811,-7.194929055,./convergence_tests_LDA/BP/conv_kpt/k12x12x12,LDA
BP,zb,kpt,k4x4x4,-14.21615178,-7.10807589,./convergence_tests_LDA/BP/conv_kpt/k4x4x4,LDA
BP,zb,kpt,k6x6x6,-14.37215682,-7.18607841,./convergence_tests_LDA/BP/conv_kpt/k6x6x6,LDA
BP,zb,kpt,k8x8x8,-14.38765966,-7.19382983,./convergence_tests_LDA/BP/conv_kpt/k8x8x8,LDA
BSb,zb,encut,E300,-11.48897304,-5.74448652,./convergence_tests_LDA/BSb/conv_cutoff/E300,LDA
BSb,zb,encut,E400,-11.49867971,-5.749339855,./convergence_tests_LDA/BSb/conv_cutoff/E400,LDA
BSb,zb,encut,E500,-11.4988465,-5.74942325,./convergence_tests_LDA/BSb/conv_cutoff/E500,LDA
BSb,zb,encut,E600,-11.49975588,-5.74987794,./convergence_tests_LDA/BSb/conv_cutoff/E600,LDA
BSb,zb,encut,E700,-11.50012341,-5.750061705,./convergence_tests_LDA/BSb/conv_cutoff/E700,LDA
BSb,zb,kpt,k10x10x10,-11.50138603,-5.750693015,./convergence_tests_LDA/BSb/conv_kpt/k10x10x10,LDA
BSb,zb,kpt,k12x12x12,-11.50181818,-5.75090909,./convergence_tests_LDA/BSb/conv_kpt/k12x12x12,LDA
BSb,zb,kpt,k4x4x4,-11.32898718,-5.66449359,./convergence_tests_LDA/BSb/conv_kpt/k4x4x4,LDA
BSb,zb,kpt,k6x6x6,-11.48159605,-5.740798025,./convergence_tests_LDA/BSb/conv_kpt/k6x6x6,LDA
BSb,zb,kpt,k8x8x8,-11.4988465,-5.74942325,./convergence_tests_LDA/BSb/conv_kpt/k8x8x8,LDA
